year,usd_per_mb,make,model,size,type,access_time,size_mb,cost_usd
2000.34,0.007,Maxtor,M94098U8,3.5,IDE,,40000,279
2000.5,0.00585,Maxtor,M96147U8,3.5,IDE,,61400,359
2000.75,0.00407,Maxtor,M33073U4,3.5,IDE,,30700,125
2001,0.00385,Maxtor,M98196H8,3.5,IDE,,81900,315
2001.17,0.0036,Maxtor,M98196H8,3.5,IDE,,81900,295
2001.5,0.00275,Western Digital,WD600AB,3.5,IDE,,60000,165
2001.75,0.00259,Maxtor,4W10086,3.5,IDE-ATA100,,100000,259
2002.08,0.00186,Maxtor,4G160H8,3.5,IDE-ATA100,,160000,298
2002.25,0.00174,Maxtor,4G160J8,3.5,IDE-ATA133,,160000,278
2002.33,0.00172,Maxtor,4G160J8,3.5,IDE-ATA133,,160000,275
2002.58,0.00166,,,3.5,,,120000,199
2002.75,0.00122,IBM,07N9219,3.5,IDE,,120000,146
2003.17,0.00131,Western Digital,,3.5,Ultra ATA-100,8.9,81900,107
2003.58,0.00112,Western Digital,,3.5,IDE ATA-100,,81900,92
2003.75,0.00106,Western Digital,,3.5,IDE ATA-100,,81900,87
2004,0.000925,Seagate,Barracuda,3.5,SATA,,120000,111
2004.17,0.000744,Maxtor,7200 rpm,3.5,SATA,,160000,119
2004.33,0.000825,Seagate,ST3120026A,3.5,,,120000,99
2004.42,0.000879,Western Digital,80GB 7200 rpm,3.5,,,81900,72
2004.5,0.000679,Seagate,200GB,3.5,,,200000,135.88
2004.67,0.000609,Hitachi,160GB 7200 rpm,3.5,SATA,,160000,97.5
2005.25,0.000876,Maxtor,external 250GB,3.5,,,250000,219
2005.42,0.0005,Western Digital,"200GB, 7200 rpm",3.5,Ultra ATA-100,,200000,99.99
2005.92,0.000406,Western Digital,"320GB 7,200 rpm, 8MB",3.5,,,320000,130
2006.33,0.000324,Maxtor,"250GB 7,200 rpm, 16MB",3.5,SATA 150,,250000,80.97
2006.67,0.000219,Western Digital,"320GB 7,200 rpm, 8MB",3.5,SATA 150,,320000,69.99
2006.83,0.000264,Western Digital,"250GB 7,200 rpm, 16MB",3.5,SATA 150,,250000,65.93
2007,0.00028,Western Digital,"320GB 7,200 rpm, 8MB",3.5,SATA-2,,250000,69.99
2007.17,0.000265,Western Digital,"400GB 7,200 rpm, 16MB",3.5,SATA-2,,400000,105.93
2007.33,0.00025,Seagate,"320GB 7,200 rpm, 16MB",3.5,SATA-2,,320000,79.99
2007.5,0.000212,Samsung,"400GB 7,200 rpm, 16MB",3.5,SATA-2,,400000,84.99
2007.67,0.00021,Western Digital,"500GB 7,200 rpm, 8MB",3.5,SATA-2,,500000,104.99
2007.75,0.00021,Western Digital,"500GB 7,200 rpm, 8MB",3.5,SATA-2,,500000,104.99
2007.83,0.0002,Western Digital,"500GB 7,200 rpm, 8MB",3.5,SATA-2,,500000,99.99
2007.92,0.00021,Western Digital,"500GB 7,200 rpm, 16MB",3.5,SATA-2,,500000,104.99
2008,0.0002,Western Digital,"500GB 7,200 rpm, 8MB",3.5,SATA-2,,500000,99.99
2008.08,0.0002,Western Digital,"500GB 7,200 rpm, 16MB",3.5,SATA-2,,500000,99.99
2008.33,0.00018,Samsung,"500GB 7,200 rpm, 16MB",3.5,SATA-2,,500000,89.99
2008.5,0.00015,Western Digital,"500GB 7,200 rpm, 16MB",3.5,SATA-2,,500000,74.99
2008.58,0.000133,Western Digital,"640GB 7,200 rpm, 16MB",3.5,SATA-2,,640000,84.99
2008.67,0.000133,Western Digital,"640GB 7,200 rpm, 16MB",3.5,SATA-2,,640000,84.99
2008.83,0.000117,Western Digital,"640GB 7,200 rpm, 16MB",3.5,SATA-2,,640000,74.99
2008.92,0.0001,Western Digital,"1TB 7,200 rpm, 16MB",3.5,SATA-2,,1000000,99.99
2009,0.0000933,Western Digital,"750GB 7,200 rpm*, 16MB",3.5,SATA-2,,750000,69.99
2009.08,0.000088,Hitachi,"1TB 7,200 rpm, 16MB",3.5,SATA-2,,1000000,87.99
2009.25,0.00009,Seagate,"1TB 7,200 rpm, 32MB",3.5,SATA-2,,1000000,89.99
2009.42,0.0000867,Seagate,"1.5TB 7,200 rpm, 32MB",3.5,SATA-2,,1500000,129.99
2009.5,0.00009,Seagate,"1TB 7,200 rpm, 32MB",3.5,SATA-2,,1000000,89.99
2009.58,0.000075,Hitachi,"1TB 7,200 rpm, 16MB",3.5,SATA-2,,1000000,74.99
2009.75,0.00008,Hitachi,"1TB 7,200 rpm, 16MB",3.5,SATA-2,,1000000,79.99
2009.92,0.00007,Hitachi,"1TB 7,200 rpm, 32MB",3.5,SATA-2,,1000000,69.99
2010,0.0000733,Seagate,"1.5TB 5,900 rpm, 32MB",3.5,SATA-2,,1500000,109.99
2010.08,0.0000733,Western Digital,"1.5TB green rpm, 64MB",3.5,SATA-2,,1500000,109.99
2010.17,0.00008,Hitachi,"1TB 7,200 rpm, 32MB",3.5,SATA-2,,1000000,79.99
2010.33,0.000075,Hitachi,"1TB 7,200 rpm, 32MB",3.5,SATA-2,,1000000,74.99
2010.5,0.000055,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,109.99
2010.58,0.000055,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,109.99
2010.75,0.00005,Western Digital,"2TB green rpm, 64MB",3.5,SATA-2,,2000000,99.99
2010.83,0.00005,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,99.99
2010.92,0.000045,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,89.99
2011,0.00004,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,79.99
2011.08,0.00004,Seagate,"2TB 5,900 rpm, 32MB",3.5,SATA-2,,2000000,79.99
2011.33,0.00004,Western Digital,"2TB 5,900 rpm, 64MB",3.5,SATA-2,,2000000,79.99
2011.42,0.0000367,Western Digital,"1.5TB 5,900 rpm, 64MB",3.5,SATA-2,,1500000,54.99
2011.67,0.00004,Western Digital,"1.5TB 5,900 rpm, 64MB",3.5,SATA-2,,1500000,59.99
2011.75,0.00004,Samsung,"2TB 5,400 rpm, 32MB",3.5,SATA-2,,2000000,79.99
2012,0.0000786,Seagate,"2TB 5,900 rpm, 64MB",3.5,SATA-3,,2000000,157.27
2012.08,0.0000701,Hitachi,"3TB 5,400 rpm, 32MB",3.5,SATA-3,,3000000,237.27
2012.25,0.0000646,Western Digital,"3TB, green, 64MB",3.5,SATA-3,,3000000,193.85
2012.33,0.00006,Western Digital,"2TB, green, 64MB",3.5,SATA-3,,2000000,119.99
2012.58,0.0000531,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,159.27
2012.62,0.00005,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,149.99
2013,0.000055,Toshiba,"2TB 7,200 rpm, 64MB",3.5,SATA-3,,2000000,109.99
2013.08,0.0000467,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,139.99
2013.33,0.0000433,Toshiba,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,129.99
2013.42,0.000045,Seagate,"4TB 7,200 rpm, 64MB",3.5,SATA-3,,4000000,179.99
2013.58,0.000045,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,134.99
2013.62,0.0000433,Toshiba,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,129.99
2013.75,0.000043,Western Digital,"3TB Green, 64MB",3.5,SATA-3,,3000000,128.99
2013.83,0.00004,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,119.99
2013.92,0.00004,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,119.99
2014.08,0.0000367,Toshiba,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,109.99
2014.17,0.0000367,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,109.99
2014.25,0.0000367,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,109.99
2014.42,0.000035,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,104.99
2014.58,0.000035,Western Digital,"3TB Green, 64MB",3.5,SATA-3,,3000000,104.99
2014.67,0.000035,Seagate,"3TB 7,200 rpm, 64MB",3.5,SATA-3,,3000000,104.99
