year,version,loc
1994,1.0.0,170581
1994,1.1.0,170320
1995,1.2.0,294623
1995,1.3.0,323581
1996,2.0.0,716119
1996,2.1.0,735736
1999,2.2.0,1676182
1999,2.3.0,1763358
2001,2.4.0,3158560
2001,2.5.0,3833603
2003,2.6.0,8102486
2007,2.6.20,8102486
2007,2.6.21,8246470
2007,2.6.22,8499363
2007,2.6.23,8566554
2008,2.6.24,8859629
2008,2.6.25,9232484
2008,2.6.26,9411724
2008,2.6.27,9709868
2008,2.6.28,10195507
2009,2.6.29,11010647
2009,2.6.30,11637173
2009,2.6.31,12046317
2009,2.6.32,12610030
2010,2.6.33,12990041
2010,2.6.34,13320934
2010,2.6.35,13545604
2010,2.6.36,13499457
2011,2.6.37,13916632
2011,2.6.38,14208866
2011,2.6.39,14533582
2011,3.0,14646952 
2011,3.1,14770469
2012,3.2,14998651 
2012,3.3,15166074
2012,3.4,15383860
2012,3.5,15596378
2012,3.6,15868036 
2012,3.7,16191690
2013,3.8,16416874
2013,3.9,16686879
2013,3.10,16955489
2013,3.11,17403279
2013,3.12,17726872
2014,3.13,17930916
2014,3.14,18271989
2014,3.15,18632574
2014,3.16,18879129
2014,3.17,18864388
2014,3.18,18994096
2015,3.19,19130604
2015,4.0,19312370
2015,4.1,19512485
2015,4.2,20311717
2015,4.3,20621444   
2016,4.4,20862115
2016,4.5,21154545
2016,4.6,21422694
2016,4.7,21712846
2016,4.8,22071048
2016,4.9,22348356
2017,4.10,22839541
2017,4.11,23137284
2017,4.12,24173535
2017,4.13,24767008
2017,4.14,25041165
2018,4.15,25364680
2018,4.16,25558670 
2018,4.17,25379428
2018,4.18,25280736
2018,4.19,25588319
2018,4.20,25955384
2019,5.0,26211072
2019,5.1,26459776
2019,5.2,26552127
2019,5.3,27141312
2019,5.4,27538212
2020,5.5,27854754
2020,5.6,28169797
2020,5.7,28442333
2020,5.8,28994351
2020,5.9,29461217
